0x0001 ar
0x0002 bg
0x0003 ca
0x0004 zh_Hans
0x0005 cs
0x0006 da
0x0007 de
0x0008 el
0x0009 en
0x000A es
0x000B fi
0x000C fr
0x000D he
0x000E hu
0x000F is
0x0010 it
0x0011 ja
0x0012 ko
0x0013 nl
0x0014 no
0x0015 pl
0x0016 pt
0x0017 rm
0x0018 ro
0x0019 ru
0x001A hr
0x001B sk
0x001C sq
0x001D sv
0x001E th
0x001F tr
0x0020 ur
0x0021 id
0x0022 uk
0x0023 be
0x0024 sl
0x0025 et
0x0026 lv
0x0027 lt
0x0028 tg
0x0029 fa
0x002A vi
0x002B hy
0x002C az
0x002D eu
0x002E hsb
0x002F mk
0x0030 st
0x0031 ts
0x0032 tn
0x0033 ve
0x0034 xh
0x0035 zu
0x0036 af
0x0037 ka
0x0038 fo
0x0039 hi
0x003A mt
0x003B se
0x003C ga
0x003D yi
0x003E ms
0x003F kk
0x0040 ky
0x0041 sw
0x0042 tk
0x0043 uz
0x0044 tt
0x0045 bn
0x0046 pa
0x0047 gu
0x0048 or
0x0049 ta
0x004A te
0x004B kn
0x004C ml
0x004D as
0x004E mr
0x004F sa
0x0050 mn
0x0051 bo
0x0052 cy
0x0053 km
0x0054 lo
0x0055 my
0x0056 gl
0x0057 kok
0x0058 mni
0x0059 sd
0x005A syr
0x005B si
0x005C chr
0x005D iu
0x005E am
0x005F tzm
0x0060 ks
0x0061 ne
0x0062 fy
0x0063 ps
0x0064 fil
0x0065 dv
0x0066 bin
0x0067 ff
0x0068 ha
0x0069 ibb
0x006A yo
0x006B quz
0x006C nso
0x006D ba
0x006E lb
0x006F kl
0x0070 ig
0x0071 kr
0x0072 om
0x0073 ti
0x0074 gn
0x0075 haw
0x0076 la
0x0077 so
0x0078 ii
0x0079 pap
0x007A arn
0x007B 
0x007C moh
0x007D 
0x007E br
0x007F 
0x0080 ug
0x0081 mi
0x0082 oc
0x0083 co
0x0084 gsw
0x0085 sah
0x0086 qut
0x0087 rw
0x0088 wo
0x0089 
0x008A 
0x008B 
0x008C prs
0x008D 
0x008E 
0x008F 
0x0090 
0x0091 gd
0x0092 ku
0x0093 quc
0x0401 ar_SA
0x0402 bg_BG
0x0403 ca_ES
0x0404 zh_TW
0x0405 cs_CZ
0x0406 da_DK
0x0407 de_DE
0x0408 el_GR
0x0409 en_US
0x040A es_ES_tradnl
0x040B fi_FI
0x040C fr_FR
0x040D he_IL
0x040E hu_HU
0x040F is_IS
0x0410 it_IT
0x0411 ja_JP
0x0412 ko_KR
0x0413 nl_NL
0x0414 nb_NO
0x0415 pl_PL
